year,month,rain_mm,Kinneret_Level_end_of_month,tmp_air_max,tmp_air_min,rain_day,sns_drt,Date,Kinneret_Level_end_of_last_month,Change_from_last_month,tmp_air_max_binned,tmp_air_min_binned
1992,4,84.50529450759097,-208.79,22.5954128540305,10.327746588693953,13,526.6,1992-04-01,-208.98,0.18999999999999773,17-23,8-12
1992,5,131.14955620717657,-208.81,26.085291858678954,14.072464629315222,11,569.7096774193549,1992-05-01,-208.79,-0.020000000000010232,23-28,12-16
1992,6,175.46207792207792,-208.85,29.607761069340018,17.13763575605681,3,687.6,1992-06-01,-208.81,-0.03999999999999204,28-31,16-19
1992,7,0.0,-208.97,30.49462365591398,18.806241409976558,0,716.1290322580645,1992-07-01,-208.85,-0.12000000000000455,28-31,16-19
1992,8,27.25,-209.18,31.995253456221196,20.491221198156683,1,672.2903225806451,1992-08-01,-208.97,-0.21000000000000796,31-34,19-23
1992,9,21.45,-209.37,30.456753968253963,18.410246031746034,3,597.5,1992-09-01,-209.18,-0.18999999999999773,28-31,16-19
1992,10,4.579365079365079,-209.49,29.3757757296467,15.732542242703532,3,547.6451612903226,1992-10-01,-209.37,-0.12000000000000455,28-31,12-16
1992,11,1011.0602125229997,-209.6,22.106825396825393,12.444601921470342,19,413.0,1992-11-01,-209.49,-0.10999999999998522,17-23,12-16
1992,12,2639.4289141190934,-209.45,13.594009216589862,6.659293394777264,25,259.16129032258067,1992-12-01,-209.6,0.15000000000000568,11-17,3-8
1993,1,1215.4554195174258,-209.46,14.138095238095238,5.14193548387097,14,351.0967741935484,1993-01-01,-209.45,-0.010000000000019327,11-17,3-8
1993,2,1044.9377486756234,-209.26,13.647108843537412,4.713775510204082,22,350.57142857142856,1993-02-01,-209.46,0.20000000000001705,11-17,3-8
1993,3,665.6651340268334,-208.94,18.53594470046083,7.552122241086589,20,469.16129032258067,1993-03-01,-209.26,0.3199999999999932,17-23,3-8
1993,4,170.45489750590272,-208.85,24.21825396825397,10.842857142857143,12,594.2,1993-04-01,-208.94,0.09000000000000341,23-28,8-12
